idShift,idEmployee,dateShift,timeStart,timeEnd,job,hoursWorked,statusShift
67,14,2024-09-21 17:06:12,16:19:09,20:19:09,Cook,4,Completed
68,10,2024-10-24 12:14:49,14:08:51,18:08:51,Cook,4,Scheduled
69,10,2024-09-10 12:52:13,13:42:28,20:42:28,Cook,7,Scheduled
70,8,2024-06-16 19:28:47,10:12:51,14:12:51,Manager,4,Scheduled
71,13,2024-11-10 20:51:08,15:49:43,19:49:43,Manager,4,Completed
72,11,2024-09-13 15:08:02,13:42:18,20:42:18,Server,7,Completed
73,6,2024-08-28 10:19:56,15:41:57,20:41:57,Manager,5,Scheduled
74,3,2024-09-23 14:48:27,10:31:39,17:31:39,Cook,7,Scheduled
75,9,2024-06-21 10:42:50,12:39:33,20:39:33,Manager,8,Scheduled
76,4,2024-07-26 14:29:59,11:42:10,16:42:10,Server,5,Completed
77,0,2024-10-19 15:09:51,13:39:50,20:39:50,Manager,7,Completed
78,13,2024-03-26 16:17:05,13:04:04,17:04:04,Server,4,Completed
79,3,2024-04-17 15:25:00,15:40:23,20:40:23,Cook,5,Scheduled
80,5,2024-11-16 17:42:40,11:07:54,15:07:54,Cook,4,Scheduled
81,7,2024-07-20 19:42:55,15:23:39,20:23:39,Manager,5,Scheduled
82,11,2024-06-20 15:51:54,10:22:54,14:22:54,Manager,4,Scheduled
83,0,2024-07-05 17:16:54,14:12:50,20:12:50,Server,6,Completed
84,12,2024-09-25 10:07:33,10:51:46,16:51:46,Server,6,Completed
85,9,2024-05-21 15:27:19,10:46:42,18:46:42,Manager,8,Scheduled
86,1,2024-06-15 17:38:20,16:08:24,20:08:24,Server,4,Completed
87,5,2024-03-24 17:04:36,16:31:13,20:31:13,Server,4,Completed
88,7,2024-03-28 13:11:35,13:15:48,17:15:48,Manager,4,Scheduled
89,9,2024-07-10 12:05:58,12:42:41,20:42:41,Manager,8,Scheduled
90,4,2024-09-06 20:37:31,10:30:04,17:30:04,Cook,7,Completed
91,2,2024-04-14 14:17:17,14:33:11,20:33:11,Cook,6,Scheduled
92,1,2024-04-28 19:10:34,11:32:12,16:32:12,Cook,5,Scheduled
93,8,2024-09-20 20:34:28,16:04:03,20:04:03,Cook,4,Completed
94,10,2024-03-11 12:06:56,11:59:44,18:59:44,Manager,7,Scheduled
95,10,2024-11-06 17:38:53,15:01:15,20:01:15,Manager,5,Scheduled
96,14,2024-08-28 14:50:24,16:53:51,20:53:51,Cook,4,Completed
97,8,2024-07-11 15:47:38,13:42:13,20:42:13,Manager,7,Completed
98,3,2024-11-21 20:57:30,10:23:19,17:23:19,Server,7,Scheduled
99,10,2024-03-28 20:49:07,12:07:14,16:07:14,Server,4,Scheduled
100,12,2024-06-23 19:29:15,15:17:42,19:17:42,Server,4,Scheduled
101,14,2024-09-15 14:17:34,10:56:07,17:56:07,Cook,7,Completed
102,6,2024-03-27 17:38:01,15:21:32,19:21:32,Cook,4,Scheduled
103,10,2024-12-04 11:40:10,10:42:27,18:42:27,Manager,8,Scheduled
104,8,2024-09-15 12:01:08,11:33:40,16:33:40,Cook,5,Completed
105,2,2024-08-05 18:44:24,12:45:11,18:45:11,Cook,6,Completed
106,0,2024-04-23 16:47:16,11:08:57,18:08:57,Cook,7,Scheduled
107,1,2024-08-17 20:35:35,12:00:26,17:00:26,Manager,5,Scheduled
108,6,2024-07-10 20:50:03,13:44:43,17:44:43,Server,4,Scheduled
109,13,2024-11-24 20:21:57,14:52:32,20:52:32,Server,6,Scheduled
110,0,2024-07-14 18:41:50,16:43:37,20:43:37,Manager,4,Completed
111,0,2024-05-23 13:13:57,16:07:23,20:07:23,Server,4,Completed
112,7,2024-06-25 19:41:43,10:23:54,14:23:54,Server,4,Scheduled
113,3,2024-08-06 19:16:34,15:53:25,20:53:25,Server,5,Completed
114,13,2024-11-26 17:08:56,15:43:55,20:43:55,Cook,5,Completed
115,0,2024-07-26 16:41:35,13:34:08,20:34:08,Server,7,Completed
116,5,2024-08-18 16:37:30,13:08:11,18:08:11,Manager,5,Scheduled
117,0,2024-05-29 11:29:46,12:25:19,20:25:19,Cook,8,Scheduled
118,3,2024-09-12 13:54:18,12:43:46,20:43:46,Cook,8,Completed
119,14,2024-03-22 10:49:56,15:21:40,20:21:40,Server,5,Completed
120,10,2024-12-05 16:34:17,10:51:37,15:51:37,Manager,5,Scheduled
121,11,2024-06-28 20:23:45,16:51:34,20:51:34,Server,4,Completed
122,10,2024-04-05 16:51:56,12:11:05,19:11:05,Cook,7,Completed
123,14,2024-08-24 14:09:05,12:25:50,16:25:50,Server,4,Scheduled
124,12,2024-07-12 12:16:05,10:01:41,14:01:41,Server,4,Scheduled
125,2,2024-10-19 10:05:58,15:59:02,20:59:02,Manager,5,Scheduled
126,1,2024-09-26 16:51:58,16:54:18,20:54:18,Manager,4,Completed
127,8,2024-06-18 10:23:43,14:54:07,18:54:07,Cook,4,Completed
128,14,2024-06-28 15:10:07,16:00:29,20:00:29,Cook,4,Completed
129,13,2024-05-16 15:15:38,15:08:04,20:08:04,Manager,5,Completed
130,13,2024-04-28 15:31:49,14:16:24,18:16:24,Server,4,Scheduled
131,12,2024-04-28 19:01:54,13:18:50,18:18:50,Manager,5,Completed
132,8,2024-11-17 12:21:21,16:22:51,20:22:51,Manager,4,Scheduled
133,12,2024-09-21 13:26:58,10:22:45,14:22:45,Manager,4,Scheduled
134,10,2024-06-09 13:20:33,16:08:39,20:08:39,Cook,4,Scheduled
135,4,2024-10-13 20:08:24,13:42:30,20:42:30,Server,7,Completed
136,2,2024-04-15 15:02:53,15:01:40,20:01:40,Server,5,Scheduled
137,1,2024-05-04 14:28:11,13:49:55,17:49:55,Cook,4,Completed
138,10,2024-11-16 20:12:04,14:07:19,20:07:19,Manager,6,Completed
139,13,2024-10-18 12:17:50,13:22:22,20:22:22,Server,7,Scheduled
140,11,2024-08-21 17:10:26,13:19:04,17:19:04,Manager,4,Completed
141,7,2024-04-21 19:20:10,16:36:47,20:36:47,Cook,4,Scheduled
142,1,2024-09-24 19:32:25,13:49:37,20:49:37,Server,7,Scheduled
143,13,2024-04-20 13:06:24,15:45:43,20:45:43,Manager,5,Completed
144,12,2024-06-30 10:16:58,16:36:15,20:36:15,Cook,4,Completed
145,2,2024-07-08 18:43:30,16:47:57,20:47:57,Manager,4,Scheduled
146,12,2024-11-02 10:04:42,16:47:07,20:47:07,Cook,4,Completed
147,4,2024-04-29 20:54:56,10:48:51,14:48:51,Server,4,Scheduled
148,2,2024-03-27 17:34:38,15:14:23,20:14:23,Manager,5,Scheduled
149,4,2024-03-21 19:40:15,11:08:37,16:08:37,Manager,5,Scheduled
150,11,2024-10-14 14:48:38,11:09:41,19:09:41,Manager,8,Completed
151,7,2024-05-01 13:04:43,11:16:31,17:16:31,Server,6,Completed
152,14,2024-11-19 18:04:46,16:17:29,20:17:29,Cook,4,Scheduled
153,4,2024-10-06 19:25:55,13:05:25,18:05:25,Manager,5,Completed
154,2,2024-07-15 19:59:24,11:55:15,17:55:15,Manager,6,Scheduled
155,7,2024-09-10 13:42:51,10:56:15,16:56:15,Server,6,Scheduled
156,2,2024-07-29 14:16:28,15:05:26,20:05:26,Manager,5,Completed
157,0,2024-03-13 14:49:59,12:42:49,16:42:49,Cook,4,Completed
158,5,2024-08-14 12:26:54,14:54:52,20:54:52,Cook,6,Completed
159,8,2024-07-05 18:32:09,14:45:35,20:45:35,Cook,6,Completed
160,10,2024-08-08 19:08:42,15:08:03,19:08:03,Manager,4,Completed
161,5,2024-06-22 17:23:38,14:14:34,19:14:34,Cook,5,Scheduled
162,8,2024-03-26 10:26:01,15:28:29,20:28:29,Server,5,Scheduled
163,8,2024-12-06 10:03:53,10:56:45,16:56:45,Server,6,Scheduled
164,10,2024-07-16 19:03:17,14:46:10,20:46:10,Cook,6,Completed
165,1,2024-06-10 20:55:35,11:13:25,16:13:25,Server,5,Scheduled
166,3,2024-10-21 13:31:32,10:37:10,17:37:10,Server,7,Completed
167,1,2024-08-04 10:40:57,15:24:24,20:24:24,Cook,5,Completed
168,6,2024-11-18 19:43:27,16:36:10,20:36:10,Cook,4,Completed
169,10,2024-08-12 16:22:12,14:24:45,20:24:45,Cook,6,Scheduled
170,6,2024-05-14 14:28:44,11:59:15,18:59:15,Cook,7,Completed
171,8,2024-07-14 11:00:18,14:27:09,20:27:09,Server,6,Completed
172,13,2024-09-05 11:35:52,14:22:20,19:22:20,Cook,5,Completed
173,1,2024-11-22 12:03:23,16:12:34,20:12:34,Server,4,Scheduled
174,10,2024-04-06 11:35:31,12:53:02,19:53:02,Server,7,Scheduled
175,4,2024-06-19 14:02:25,12:05:08,18:05:08,Cook,6,Scheduled
176,1,2024-06-14 10:05:23,14:29:36,18:29:36,Cook,4,Completed
177,5,2024-04-12 15:34:57,12:40:02,16:40:02,Manager,4,Completed
178,13,2024-09-26 14:22:20,11:53:44,15:53:44,Server,4,Completed
179,4,2024-04-10 16:54:34,12:31:53,17:31:53,Cook,5,Scheduled
180,2,2024-07-19 11:55:51,14:12:21,20:12:21,Manager,6,Scheduled
181,1,2024-07-16 10:29:12,16:24:23,20:24:23,Manager,4,Completed
182,3,2024-04-05 10:39:57,10:04:35,15:04:35,Manager,5,Scheduled
183,8,2024-08-31 13:02:09,13:40:58,18:40:58,Server,5,Scheduled
184,4,2024-08-10 14:55:46,14:54:03,19:54:03,Server,5,Completed
185,6,2024-06-08 11:46:16,14:52:11,18:52:11,Server,4,Completed
186,5,2024-09-02 13:18:49,10:19:23,16:19:23,Server,6,Completed
187,14,2024-03-16 19:22:49,10:20:45,14:20:45,Server,4,Completed
188,4,2024-03-16 13:42:04,12:58:08,17:58:08,Manager,5,Completed
189,3,2024-06-13 16:50:31,12:30:05,18:30:05,Cook,6,Completed
190,14,2024-05-13 11:51:58,12:40:52,17:40:52,Cook,5,Completed
191,3,2024-11-04 15:39:21,11:02:44,17:02:44,Cook,6,Scheduled
192,1,2024-04-30 18:58:48,15:22:46,20:22:46,Cook,5,Scheduled
193,13,2024-05-12 16:26:09,13:13:16,20:13:16,Cook,7,Scheduled
194,12,2024-11-21 14:38:03,11:01:15,17:01:15,Manager,6,Completed
195,6,2024-11-28 12:47:13,15:23:24,20:23:24,Cook,5,Scheduled
196,10,2024-09-08 20:51:35,15:08:01,20:08:01,Server,5,Completed
197,6,2024-03-17 15:44:32,16:14:35,20:14:35,Cook,4,Scheduled
198,7,2024-11-07 19:50:15,10:54:21,14:54:21,Manager,4,Completed
199,1,2024-04-03 20:17:13,13:35:18,20:35:18,Cook,7,Scheduled
200,9,2024-06-17 10:32:09,15:15:21,20:15:21,Server,5,Scheduled
201,9,2024-04-09 16:31:45,15:04:50,20:04:50,Manager,5,Completed
202,1,2024-10-24 15:19:09,10:31:20,17:31:20,Manager,7,Completed
203,0,2024-03-14 16:41:59,13:51:37,20:51:37,Cook,7,Completed
204,2,2024-06-24 20:50:02,16:48:02,20:48:02,Server,4,Scheduled
205,1,2024-06-12 17:06:18,11:47:50,19:47:50,Manager,8,Completed
206,0,2024-08-26 12:07:13,15:08:01,20:08:01,Cook,5,Scheduled
207,12,2024-04-22 16:56:03,14:07:24,20:07:24,Server,6,Completed
208,9,2024-09-07 17:06:11,16:48:10,20:48:10,Server,4,Completed
209,5,2024-05-08 16:09:52,16:35:41,20:35:41,Manager,4,Scheduled
210,2,2024-10-10 20:00:17,14:59:12,20:59:12,Server,6,Completed
211,12,2024-09-29 11:35:37,14:12:40,18:12:40,Manager,4,Scheduled
212,11,2024-03-24 16:06:39,14:57:36,20:57:36,Server,6,Completed
213,0,2024-05-12 20:29:46,11:59:59,18:59:59,Cook,7,Completed
214,8,2024-04-25 17:03:12,16:29:04,20:29:04,Cook,4,Completed
215,1,2024-08-09 13:55:55,13:25:11,20:25:11,Server,7,Scheduled
216,4,2024-04-22 15:48:51,16:36:35,20:36:35,Server,4,Scheduled
217,8,2024-07-19 18:39:41,10:51:59,15:51:59,Cook,5,Completed
218,14,2024-07-23 18:12:58,14:04:44,20:04:44,Cook,6,Scheduled
219,11,2024-04-25 12:25:31,16:10:10,20:10:10,Cook,4,Completed
220,13,2024-08-30 12:01:41,16:24:46,20:24:46,Cook,4,Completed
221,14,2024-09-28 18:45:32,14:32:35,19:32:35,Cook,5,Scheduled
222,0,2024-04-01 13:54:42,12:48:48,20:48:48,Server,8,Scheduled
223,11,2024-11-17 16:45:37,10:36:01,17:36:01,Server,7,Scheduled
224,6,2024-04-22 10:35:25,11:13:13,16:13:13,Cook,5,Completed
225,7,2024-10-14 19:13:37,15:28:54,20:28:54,Server,5,Scheduled
226,8,2024-09-28 10:49:03,12:06:47,16:06:47,Cook,4,Scheduled
227,2,2024-11-14 15:09:43,11:20:10,16:20:10,Manager,5,Scheduled
228,10,2024-09-07 13:00:24,12:36:11,17:36:11,Server,5,Completed
229,8,2024-11-26 14:47:31,16:48:52,20:48:52,Cook,4,Scheduled
230,4,2024-10-02 20:41:28,14:45:14,20:45:14,Manager,6,Scheduled
231,2,2024-08-26 12:49:59,16:48:20,20:48:20,Cook,4,Scheduled
232,1,2024-03-09 17:16:19,16:40:48,20:40:48,Manager,4,Completed
233,5,2024-11-11 19:22:28,11:38:55,18:38:55,Manager,7,Scheduled
234,13,2024-10-22 14:19:01,10:14:54,14:14:54,Cook,4,Scheduled
235,9,2024-11-23 14:12:23,11:23:23,17:23:23,Cook,6,Completed
236,0,2024-06-20 17:53:06,11:01:07,19:01:07,Server,8,Scheduled
237,6,2024-04-15 12:23:00,16:25:55,20:25:55,Manager,4,Completed
238,13,2024-07-24 15:39:12,13:05:03,20:05:03,Server,7,Scheduled
239,10,2024-08-27 19:43:15,10:34:17,14:34:17,Server,4,Completed
240,8,2024-07-05 11:23:15,14:31:47,18:31:47,Server,4,Scheduled
241,7,2024-11-18 17:36:04,11:06:44,19:06:44,Cook,8,Completed
242,4,2024-06-14 19:44:25,13:20:36,20:20:36,Server,7,Scheduled
243,2,2024-08-10 11:21:28,16:23:39,20:23:39,Server,4,Scheduled
244,7,2024-10-15 18:57:40,16:01:36,20:01:36,Server,4,Scheduled
245,5,2024-07-14 14:20:14,15:27:51,20:27:51,Cook,5,Completed
246,6,2024-06-20 12:13:32,15:20:52,20:20:52,Cook,5,Completed
247,0,2024-06-05 17:43:22,11:07:27,15:07:27,Cook,4,Scheduled
248,8,2024-04-25 16:08:49,13:15:59,17:15:59,Cook,4,Scheduled
249,0,2024-11-09 15:52:35,13:04:13,19:04:13,Manager,6,Completed
250,0,2024-08-14 17:28:16,14:45:37,20:45:37,Cook,6,Scheduled
251,14,2024-11-21 20:48:27,15:07:50,19:07:50,Server,4,Scheduled
252,0,2024-11-30 14:32:36,12:38:33,19:38:33,Cook,7,Completed
253,9,2024-10-27 18:50:12,15:18:23,20:18:23,Cook,5,Completed
254,10,2024-09-25 18:17:39,10:27:14,18:27:14,Manager,8,Completed
255,10,2024-12-06 11:47:17,11:14:44,15:14:44,Server,4,Scheduled
256,7,2024-11-24 19:15:39,10:06:53,17:06:53,Cook,7,Completed
257,14,2024-11-10 14:20:45,14:43:52,18:43:52,Cook,4,Completed
258,11,2024-07-10 13:48:44,15:35:37,20:35:37,Server,5,Completed
259,9,2024-09-03 15:20:36,15:38:02,20:38:02,Manager,5,Scheduled
260,6,2024-11-22 14:49:08,15:14:03,20:14:03,Manager,5,Scheduled
261,8,2024-03-24 12:52:06,14:53:17,18:53:17,Cook,4,Scheduled
262,10,2024-07-14 12:05:06,12:04:07,18:04:07,Manager,6,Scheduled
263,8,2024-05-07 11:56:50,16:17:39,20:17:39,Server,4,Completed
264,5,2024-08-29 20:20:05,11:20:28,16:20:28,Cook,5,Scheduled
265,0,2024-04-26 17:35:07,11:13:07,19:13:07,Server,8,Completed
266,13,2024-11-07 13:08:32,10:26:17,16:26:17,Manager,6,Scheduled
267,13,2024-10-04 14:44:12,10:46:32,14:46:32,Server,4,Completed
268,7,2024-07-29 16:14:16,14:31:54,20:31:54,Cook,6,Completed
269,9,2024-06-08 15:24:33,13:57:07,20:57:07,Server,7,Completed
270,5,2024-11-19 19:44:56,13:44:10,20:44:10,Manager,7,Scheduled
271,5,2024-09-09 19:57:41,12:47:21,17:47:21,Manager,5,Scheduled
272,7,2024-10-23 14:01:55,12:20:11,17:20:11,Cook,5,Scheduled
273,8,2024-11-03 19:39:35,14:19:01,20:19:01,Cook,6,Scheduled
274,9,2024-08-09 14:58:51,11:51:20,18:51:20,Cook,7,Scheduled
275,13,2024-08-31 11:25:50,16:29:03,20:29:03,Cook,4,Scheduled
276,6,2024-11-09 15:28:18,10:31:21,16:31:21,Cook,6,Scheduled
277,11,2024-07-15 13:17:11,11:13:49,16:13:49,Manager,5,Scheduled
278,2,2024-11-25 16:00:40,10:22:39,16:22:39,Cook,6,Scheduled
279,12,2024-09-12 11:59:29,15:17:45,19:17:45,Cook,4,Scheduled
280,7,2024-07-27 15:07:51,14:28:20,20:28:20,Server,6,Scheduled
281,8,2024-08-27 11:37:25,11:18:47,16:18:47,Cook,5,Scheduled
282,10,2024-07-05 10:56:45,12:00:07,20:00:07,Server,8,Completed
283,4,2024-10-13 16:00:26,16:22:15,20:22:15,Server,4,Completed
284,13,2024-09-20 20:59:35,14:03:32,20:03:32,Manager,6,Scheduled
285,1,2024-03-30 13:28:54,15:32:16,20:32:16,Cook,5,Scheduled
286,8,2024-08-18 20:37:38,10:16:27,17:16:27,Manager,7,Scheduled
287,1,2024-07-12 18:06:31,13:57:38,18:57:38,Manager,5,Scheduled
288,7,2024-08-23 13:08:48,11:20:52,19:20:52,Cook,8,Scheduled
289,13,2024-07-03 16:46:29,15:37:33,20:37:33,Server,5,Scheduled
290,8,2024-06-15 12:19:40,13:07:39,18:07:39,Manager,5,Scheduled
291,1,2024-10-18 13:41:39,12:48:22,19:48:22,Server,7,Completed
292,14,2024-09-20 16:17:04,10:13:24,16:13:24,Server,6,Completed
293,13,2024-06-14 12:37:47,12:05:14,19:05:14,Cook,7,Completed
294,8,2024-10-13 17:41:01,16:55:40,20:55:40,Cook,4,Scheduled
295,14,2024-10-28 13:18:03,12:57:20,18:57:20,Manager,6,Completed
296,0,2024-10-12 18:01:49,10:39:00,16:39:00,Cook,6,Scheduled
297,12,2024-10-07 13:40:50,13:34:22,20:34:22,Server,7,Scheduled
298,9,2024-08-13 16:42:36,16:26:24,20:26:24,Server,4,Completed
299,5,2024-10-12 18:26:25,14:44:08,19:44:08,Server,5,Scheduled
300,5,2024-05-09 11:45:15,12:09:20,17:09:20,Manager,5,Scheduled
301,8,2024-03-23 20:21:17,10:07:51,14:07:51,Server,4,Scheduled
302,4,2024-05-20 14:39:15,14:21:09,18:21:09,Cook,4,Completed
303,4,2024-03-17 14:28:18,10:13:48,18:13:48,Manager,8,Completed
304,5,2024-10-22 19:16:21,11:15:40,19:15:40,Cook,8,Completed
305,4,2024-09-14 16:03:41,12:23:50,19:23:50,Manager,7,Completed
306,9,2024-04-12 18:47:29,11:54:46,16:54:46,Cook,5,Scheduled
307,3,2024-06-10 18:30:29,14:56:41,20:56:41,Server,6,Completed
308,12,2024-05-20 16:06:04,15:18:57,20:18:57,Manager,5,Completed
309,11,2024-09-20 16:48:21,11:37:03,16:37:03,Manager,5,Completed
310,12,2024-07-17 15:37:51,15:37:55,20:37:55,Server,5,Scheduled
311,8,2024-03-24 10:39:10,13:46:07,19:46:07,Cook,6,Scheduled
312,9,2024-11-15 11:56:38,15:29:30,20:29:30,Manager,5,Scheduled
313,12,2024-05-29 17:42:35,15:17:49,20:17:49,Manager,5,Completed
314,7,2024-07-21 18:22:08,16:01:04,20:01:04,Manager,4,Scheduled
315,9,2024-05-14 18:24:28,10:10:21,17:10:21,Cook,7,Scheduled
316,3,2024-03-10 12:21:32,13:34:20,20:34:20,Cook,7,Scheduled
317,2,2024-05-25 10:02:55,16:45:17,20:45:17,Server,4,Completed
318,10,2024-09-16 18:29:31,15:07:19,19:07:19,Manager,4,Scheduled
319,8,2024-12-02 12:34:40,14:24:51,20:24:51,Server,6,Scheduled
320,4,2024-10-10 16:44:30,13:22:33,19:22:33,Manager,6,Completed
321,12,2024-04-10 20:12:05,16:14:09,20:14:09,Server,4,Completed
322,4,2024-06-18 19:56:32,15:40:14,20:40:14,Manager,5,Completed
323,2,2024-11-27 20:34:07,16:36:54,20:36:54,Server,4,Scheduled
324,9,2024-08-06 18:59:32,13:35:16,18:35:16,Manager,5,Completed
325,12,2024-03-08 18:42:14,11:38:33,15:38:33,Cook,4,Completed
326,0,2024-12-03 14:01:04,16:27:22,20:27:22,Cook,4,Scheduled
327,3,2024-07-20 18:39:19,10:52:17,15:52:17,Server,5,Scheduled
328,5,2024-04-26 10:40:28,11:25:27,16:25:27,Manager,5,Scheduled
329,10,2024-09-16 18:10:03,15:06:23,20:06:23,Manager,5,Scheduled
330,1,2024-08-25 17:46:03,11:22:24,19:22:24,Manager,8,Completed
331,6,2024-05-11 18:18:47,16:02:38,20:02:38,Server,4,Completed
332,11,2024-06-03 12:56:12,14:05:09,20:05:09,Server,6,Scheduled
333,7,2024-03-10 13:24:43,10:56:57,18:56:57,Server,8,Completed
334,8,2024-10-12 19:20:19,12:56:24,18:56:24,Server,6,Scheduled
335,5,2024-05-14 11:51:30,11:48:29,17:48:29,Manager,6,Completed
336,14,2024-07-04 19:29:41,14:45:09,20:45:09,Server,6,Scheduled
337,8,2024-11-19 17:02:55,11:54:03,16:54:03,Server,5,Scheduled
338,14,2024-10-23 13:24:56,16:26:30,20:26:30,Server,4,Completed
339,0,2024-03-19 12:32:09,16:38:45,20:38:45,Cook,4,Scheduled
340,0,2024-06-06 11:46:53,15:38:32,20:38:32,Server,5,Scheduled
341,0,2024-09-17 12:34:34,10:47:13,15:47:13,Cook,5,Scheduled
342,7,2024-11-07 19:02:06,13:39:57,17:39:57,Manager,4,Completed
343,13,2024-08-01 12:06:13,10:58:04,14:58:04,Server,4,Scheduled
344,4,2024-08-29 13:37:01,16:15:34,20:15:34,Server,4,Scheduled
345,12,2024-09-05 13:32:49,13:32:34,17:32:34,Server,4,Scheduled
346,12,2024-10-21 17:47:02,14:03:00,19:03:00,Manager,5,Completed
347,10,2024-10-01 13:14:01,12:04:02,20:04:02,Cook,8,Scheduled
348,14,2024-04-24 20:20:29,11:51:56,17:51:56,Cook,6,Completed
349,8,2024-09-23 20:50:07,13:48:48,19:48:48,Cook,6,Scheduled
